"Año","País de la Competencia ","Categoría ","Género","Nombre del Atleta (CHI)","Disciplina","Marca/Resultado","Puesto","Medalla"
"2003","República Dominicana ","Adultos","Damas","Erika Olivera","Maratón","2:44.52s","3","Bronce"
"2007","Río de Janeiro","Adultos","Damas","Natalia Ducó","Lanzamiento de bala","16.92m","7","N/A"
"2011","México","Adultos","Damas","Natalia Romero","Maratón","2:47.36s","7","N/A"
"2011","Perú","Adultos","Damas","Ivana Gallardo","Lanzamiento de bala","16.43m","5","N/A"
"2015","Perú","Adultos","Damas","Ivana Gallardo","Lanzamiento de disco","53.43m","5","N/A"
"2007","Río de Janeiro","Adultos","Damas","Daniela Pavez","4x100 m relevos","45.50","5","N/A"
"2019","Canadá","Adultos","Damas","Verónica Ángel","Maratón","2:46:04","11","N/A"
"2023","Chile","Adultos","Damas","Martina Weil Restrepo","400 m planos","51.47","1","Oro"
"2007","Río de Janeiro","Adultos","Damas","María Fernanda Mackenna ","4x100 m relevos","45.50s","5","N/A"
"2007","Río de Janeiro","Adultos","Damas","María Fernanda Mackenna ","200 m planos","24.97","6","N/A"
"2003","República Dominicana ","Adultos","Damas","Luz Eliana Silva","10.000 m planos","37:11.17s","8","N/A"
"2003","República Dominicana ","Adultos","Damas","Marianne Berndt Ortiz","Lanzamiento de peso","15.37m","8","N/A"
"2003","República Dominicana ","Adultos","Damas","Marianne Berndt Ortiz","Lanzamiento de disco","42.45m","8","N/A"
"2003","República Dominicana ","Adultos","Damas","Odette Palma","Lanzamiento de martillo","54.14m","10","N/A"
"2007","Río de Janeiro","Adultos","Damas","Francisca Guzmán","100 m vallas","N/A","N/A","N/A"
"2007","Río de Janeiro","Adultos","Damas","Maria Diaz Vergara","4x100 m relevos","45.50","5","N/A"
"2007","Río de Janeiro","Adultos","Damas","Maria Fernanda Mackenna","4x100 m relevos","45.50","5","N/A"
"2007","Río de Janeiro","Adultos","Damas","Daniela Ri de Rellicercio","4x100 m relevos","45.50","5","N/A"
"2007","Río de Janeiro","Adultos","Damas","Daniela Pavez","4x100 m relevos","45.50","5","N/A"
"2007","Río de Janeiro","Adultos","Damas","Carolina Torres","Salto con pértiga ","4.00m","6","N/A"
"2007","Río de Janeiro","Adultos","Damas","Karen Gallardo","Lanzamiento de disco","46.11m","12","N/A"
"2007","Río de Janeiro","Adultos","Damas","Ximena Araneda","Lanzamiento de disco","45.64m","13","N/A"
"2007","Río de Janeiro","Adultos","Damas","Odette Palma","Lanzamiento de disco","55.63m","13","N/A"
"2011","México","Adultos","Damas","Daniela Pavez","100 m","11.85s","4","N/A"
