gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,200 METRES,HEAT,4.0,7,Luis Schneider Zuanich,Chile,10.96,,,"San Juan, Puerto Rico",,
Men,200 METRES,HEAT,1.0,7,Luis Schneider Zuanich,Chile,21.85,,,"San Juan, Puerto Rico",,
Men,400 METRES,HEAT,1.0,2,Cristian Molina Cifuentes,Chile,1:51.1,,12 Jul,"San Juan, Puerto Rico",,
Men,400 METRES,HEAT,3.0,4,Emilio Ulloa Valenzuela,Chile,1:53.3,,12 Jul,"San Juan, Puerto Rico",,
Men,800 METRES,HEAT,2.0,2,Cristian Molina Cifuentes,Chile,1:51.1,,8 Jul,"San Juan, Puerto Rico",,
Men,800 METRES,FINAL,,5,Emilio Ulloa Valenzuela,Chile,1:49.2,,8 Jul,"San Juan, Puerto Rico",,
Men,800 METRES,FINAL,,8,Cristian Molina Sifuentes,Chile,1:51.7,,8 Jul,"San Juan, Puerto Rico",,
Men,800 METRES,HEAT,1.0,9,Emilio Ulloa Valenzuela,Chile,3:51.2,,8 Jul,"San Juan, Puerto Rico",,
Men,800 METRES,HEAT,2.0,9,Eduardo Valenzuela Vaillant,Chile,3:59.3,,8 Jul,"San Juan, Puerto Rico",,
Men,"1,500 METRES",FINAL,,5,Edmundo Warnke Bravo,Chile,2:26:14,,14 Jul,"San Juan, Puerto Rico",,
Men,"1,500 METRES",HEAT,1.0,6.0,Alfredo Piza,Chile,14.90,,14 Jul,"San Juan, Puerto Rico",,
Men,400 METRES HURDLES,HEAT,1.0,5.0,Alfredo Edwards,Chile,54.41,,11 Jul,"San Juan, Puerto Rico",,
Men,400 METRES HURDLES,HEAT,2.0,5.0,Alfredo Piza,Chile,53.64,,11 Jul,"San Juan, Puerto Rico",,
Men,3,000 METRES STEEPLECHASE,FINAL,,8.0,Luis Palma Lara,Chile,9:21.3,,8 Jul,"San Juan, Puerto Rico",,
Men,SHOT PUT,,,10.0,Gert Weil Wiesenborn,Chile,15.06m,,7 Jul,"San Juan, Puerto Rico",,
Men,DISCUS THROW,,,7.0,Gert Weil Wiesenborn,Chile,43.24m,,11 Jul,"San Juan, Puerto Rico",,
Men,HAMMER THROW,,,8.0,Mario Egmen,Chile,51.52m,,12 Jul,"San Juan, Puerto Rico",,

