gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,400 METRES,HEAT,3.0,5,Roberto Salmona,Chile,1:53.6 (1:53.61),,1 Aug,"Cali, Colombia",,
Men,400 METRES,HEAT,4.0,4,Victor Rios,Chile,1:55.6 (1:55.67),,1 Aug,"Cali, Colombia",,
Men,400 METRES,HEAT,2.0,7,Victor Rios,Chile,1:53.3 (1:53.34),,1 Aug,"Cali, Colombia",,
Men,800 METRES,HEAT,1.0,4,Jorge Grosser Castillo,Chile,3:51.3 (3:51.36),,3 Aug,"Cali, Colombia",,
Men,800 METRES,HEAT,2.0,6,Victor Rios,Chile,3:52.1 (3:52.15),,3 Aug,"Cali, Colombia",,
Men,"1,500 METRES",FINAL,,9,Jorge Grosser Chile,,3:52.68,,1 Aug,"Cali, Colombia",,
Men,"1,500 METRES",FINAL,,4,Edmundo Warnke Bravo,Chile,14:05.5 (14:05.57),,1 Aug,"Cali, Colombia",,
Men,"1,500 METRES",FINAL,,9,Jose Ramirez Allende,Chile,2:50:05.0,,1 Aug,"Cali, Colombia",,
Men,4x100 METRES RELAY,HEAT,2.0,6,Jorge Pe,Jorge Peña Chile,69.06m,,5 Aug,"Cali, Colombia",,
Men,4x100 METRES RELAY,HEAT,2.0,9,Patricio Etcheverry Chile,Patricio Etcheverry Chile,65.56m,,5 Aug,"Cali, Colombia",,
