gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (4 Aug ),,,,,"Havana, Cuba",
Men,,HEAT,1,1,Andre Cason,USA,10.43,,,"Havana, Cuba",
Men,,HEAT,1,2,Arnaldo Oliveira da Silva,Brazil,10.58,,,"Havana, Cuba",
Men,,HEAT,1,3,Andr és Sim ón Gómez,Cuba,10.63,,,"Havana, Cuba",
Men,,HEAT,1,4,Mike Dwyer,Canada,10.97,,,"Havana, Cuba",
Men,,HEAT,1,5,Joseph Styles,Bahamas,11.00,,,"Havana, Cuba",
Men,,HEAT,1,6,Florencio A guilar Mejia,Panama,11.05,,,"Havana, Cuba",
Men,,HEAT,1,7,Dexter Browne,St Vincent and the Grenadines,11.48,,,"Havana, Cuba",
Men,,HEAT,2,1,Robson Caetano da Silva,Brazil,10.45,,,"Havana, Cuba",
Men,,HEAT,2,2,John Mair,Jamaica,10.50,,,"Havana, Cuba",
Men,,HEAT,2,3,Jeff Williams,USA,10.51,,,"Havana, Cuba",
Men,,HEAT,2,4,Carlos Moreno Lira,Chile,10.66,,,"Havana, Cuba",
Men,,HEAT,2,5,Neville Hodge Gomez,Virgin Islands,10.76,,,"Havana, Cuba",
Men,,HEAT,2,6,Henrico Atkins,Barbados,10.85,,,"Havana, Cuba",
Men,,HEAT,2,7,Lindel Hodge,British Virgin Islands,11.24,,,"Havana, Cuba",
Men,,HEAT,2,8,Kent Dennie,St Vincent and the Grenadines,11.53,,,"Havana, Cuba",
Men,,HEAT,3,1,Joel Isasi Gonzalez,Cuba,10.25,,,"Havana, Cuba",
Men,,HEAT,3,2,Michael Green,Jamaica,10.37,,,"Havana, Cuba",
Men,,HEAT,3,3,Donovan Bailey,Canada,10.44,,,"Havana, Cuba",
Men,,HEAT,3,4,Troy Douglas,Bermuda,10.76,,,"Havana, Cuba",
Men,,HEAT,3,5,Junior Cornette,Guyana,10.88,,,"Havana, Cuba",
