gender,event,round,heat,position,name,mark,status,date,location,members,año,mark_value
Men,110 METRES HURDLES,HEAT,3.0,,Udo Martin Huber No Tim e,,,3 Mar,"Buenos Aires, Argentina",,1951,
Men,400 METRES HURDLES,HEAT,1.0,,42.2 Leonel Contreras,,,28 Feb,"Buenos Aires, Argentina",,1951,
Men,4x100 METRES RELAY,,,,,42.3,,6 Mar,"Buenos Aires, Argentina",L.Contreras; R.Lopez; G.Ehlers; F.Salinas,1951,42.3
Men,4x100 METRES RELAY,FINAL,,,,3,,6 Mar,"Buenos Aires, Argentina",Jaime Hitelman Reitich; Jorn Gevert; Reinaldo Martin Muller; Gustavo Ehlers Trostel,1951,3
Men,4x100 METRES RELAY,FINAL,,,Paraguay Fermin Villalba,11,,6 Mar,"Buenos Aires, Argentina",- 10; 000 METRES WALK (6 Mar ),1951,11
Men,4x100 METRES RELAY,FINAL,,,Ernesto Lagos Salinas,1,,6 Mar,"Buenos Aires, Argentina",.85m,1951,1
Men,4x100 METRES RELAY,FINAL,,,Carlos Puebla Maturana,1,,6 Mar,"Buenos Aires, Argentina",.80m,1951,1
Men,4x100 METRES RELAY,FINAL,,,Teodoro Gabriawez Paraguay,1,,6 Mar,"Buenos Aires, Argentina",.70m Antonio Barrionuevo Argentina DNComp Carlos Vera Guardia  DNComp Juan Puga Peru DNComp Mirco Cuculiza Peru DNComp Jaime Piqueras Sanchez Peru DNComp POLE VAULT (1 Mar ),1951,1
Men,4x100 METRES RELAY,FINAL,,,Carlos Vera Guardia,3,,6 Mar,"Buenos Aires, Argentina",.50m Pan-American Games; Buenos A ires 1951 - 12 - LONG JUMP (28 Feb ),1951,3
Men,4x100 METRES RELAY,FINAL,,,Alberto Eggeling Pots,6,,6 Mar,"Buenos Aires, Argentina",.87m,1951,6
Men,4x100 METRES RELAY,FINAL,,,Carlos Vera Guardia,6,,6 Mar,"Buenos Aires, Argentina",.47m,1951,6
Men,4x100 METRES RELAY,FINAL,,,Udo Martin Huber,13,,6 Mar,"Buenos Aires, Argentina",.68m,1951,13
Men,4x100 METRES RELAY,FINAL,,,Carlos Puebla Maturana,13,,6 Mar,"Buenos Aires, Argentina",.58m,1951,13
Men,4x100 METRES RELAY,FINAL,,,James Holland USA,13,,6 Mar,"Buenos Aires, Argentina",.21m Carlos Vera Guardia  DNComp SHOT PUT (2 Mar ),1951,13
Men,4x100 METRES RELAY,FINAL,,,Mauricio Rodriguez Venezuela,11,,6 Mar,"Buenos Aires, Argentina",.97m Richard Doyle USA DNComp Hernan Figueroa Bueg  DNComp DISCUS THROW (1 Mar ),1951,11
Men,4x100 METRES RELAY,FINAL,,,Hern án Haddad Abdala,44,,6 Mar,"Buenos Aires, Argentina",.20m,1951,44
Men,4x100 METRES RELAY,FINAL,,,Karsten Brodersen,42,,6 Mar,"Buenos Aires, Argentina",.20m,1951,42
Men,4x100 METRES RELAY,FINAL,,,Arturo Me lchor Borquez,45,,6 Mar,"Buenos Aires, Argentina",.70m,1951,45
Men,4x100 METRES RELAY,FINAL,,,Hern an Ortiz Molina Paraguay,46,,6 Mar,"Buenos Aires, Argentina",.89m Armin Nevermann Radejens  DNComp DECATHLON (4/5 Mar ),1951,46
Men,4x100 METRES RELAY,FINAL,,,Hern án Figueroa Bueg,6,,6 Mar,"Buenos Aires, Argentina",610 (6; 261) (11.3; 6.78m; 13.33m; 1.70m; 53.1; 16.6; 36.40m; 3.30m; 53.01m; 5 :00.6),1951,6
Men,4x100 METRES RELAY,HEAT,1.0,,Adriana Millard Pacheco,12.7,,6 Mar,"Buenos Aires, Argentina",,1951,12.7
Men,4x100 METRES RELAY,HEAT,2.0,,Beatriz Kretschmer de Buccicardi,12.8,,6 Mar,"Buenos Aires, Argentina",,1951,12.8
Men,4x100 METRES RELAY,HEAT,4.0,,Eliana Gaete Lazo,,,6 Mar,"Buenos Aires, Argentina",,1951,
Men,80 METRES HURDLES,FINAL,,,49.3 Eliana Gaete Lazo,,,3 Mar,"Buenos Aires, Argentina",,1951,
Men,110 METRES HURDLES,HEAT,1.0,,Beatriz Kretschmer de Buccicardi (,7.86,,17 Mar,"Mexico City, Mexico",,1955,7.86
Men,110 METRES HURDLES,HEAT,2.0,,Elda Selam é (,8.10,,17 Mar,"Mexico City, Mexico",,1955,8.10
Men,110 METRES HURDLES,HEAT,3.0,,Eliana Gaete Lazo (,7.88,,17 Mar,"Mexico City, Mexico",,1955,7.88
Men,4x400 METRES RELAY,FINAL,,,Juan Ruiz,1.80m,,2 Sep,"Chicago, USA",,1959,1.80m
