Año,Nombre,Disciplina,Tipo de prueba ,Unidad de Medida,Marca,Posición,Total de competidores,"Récord (SB, PB)",Fecha de naciemiento,Edad ,"Instancia (clasificación, semifinal, final)"
2003,,100 m,velocidad,tiempo,,,,,,,
,,200 m ,velocidad,tiempo,,,,,,,
,Mauricio Mery ,400 m,velocidad,tiempo,46.92,4,,,,,semifinal
,,800 m ,Mediofondo,tiempo,,,,,,,
,,1.500 m,Mediofondo,tiempo,,,,,,,
,Mauricio Díaz,5.000 m  ,Fondo,tiempo,13:58.85,,,,,,
,Mauricio Díaz,10.000 m,Fondo,tiempo,DNS,0,10,,,,
,,Maratón,Fondo,tiempo,,,,,,,
,,110 m vallas,Vallas / obstáculos,tiempo,,,,,,,
,,400 m vallas,Vallas / obstáculos,tiempo,,,,,,,
,,3.000 m con obstáculos,Vallas / obstáculos,tiempo,,,,,,,
,,4 × 100 m,Relevos,tiempo,,,,,,,
,,4 × 400 m,Relevos,tiempo,,,,,,,
,Cristián Muñoz,20 km marcha,Marcha,tiempo,1:31:07,6,15,,,,
,,salto de altura,Saltos,distancia (m),,,,,,,
,José Nava,salto con garrocha,Saltos,distancia (m),5.20,7,,,,,
,Jorge Naranjo,salto con garrocha,Saltos,distancia (m),4.80,10,,,,,
,,salto largo,Saltos,distancia (m),,,,,,,
,,salto triple,Saltos,distancia (m),,,,,,,
,Marco Antonio Verni,Peso,Lanzamientos,distancia (m),"20,14",2,12,,,,
,,disco,Lanzamientos,distancia (m),,,,,,,
,,martillo,Lanzamientos,distancia (m),,,,,,,
,Diego Moraga,jabalina,Lanzamientos,distancia (m),"71,79",7,10,,,,
,,Decatlón,Pruebas combinadas,Puntaje,,,,,,,
,,Relevo mixto 4 × 400 m,Pruebas mixtas,Puntaje,,,,,,,
,,Marcha mixta,Pruebas mixtas,Puntaje,,,,,,,
,,,,,,,,,,,
2007,Kael Becerra,100 m,velocidad,tiempo,00:00:10.32,6,29,,3/11/1985,,clasificación
,,200 m ,velocidad,tiempo,,,,,,,
,,400 m,velocidad,tiempo,,,,,,,
,,800 m ,Mediofondo,tiempo,,,,,,,
,Leslie Encina,1.500 m,Mediofondo,tiempo,00:03:45.99,9,15,,1/01/1982,,final
,,5.000 m  ,Fondo,tiempo,,,,,,,
,,10.000 m,Fondo,tiempo,,,,,,,
,,Maratón,Fondo,tiempo,,,,,,,
,Francisco Castro,110 m vallas,Vallas / obstáculos,tiempo,00:00:14.46,16,20,,28/03/1983,,semifinal
,Luis Montenegro,400 m vallas,Vallas / obstáculos,tiempo,00:00:51.58,17,19,,5/10/1981,,semifinal
,Sergio Lobos,3.000 m con obstáculos,Vallas / obstáculos,tiempo,00:09:08.55,10,10,,1/12/1982,,final
,,4 × 100 m,Relevos,tiempo,,,,,,,
,,4 × 400 m,Relevos,tiempo,,,,,,,
,,20 km marcha,Marcha,tiempo,,,,,,,
,Cristian Bascuñan,50 km marcha,Marcha,tiempo,00:04:24.21,9,13,,8/03/1983,,final
,,salto de altura,Saltos,distancia (m),,,,,,,
,José Francisco Nava,salto con garrocha,Saltos,distancia (m),NM,,11,,19/01/1983,,final
,,salto largo,Saltos,distancia (m),,,,,,,
,,salto triple,Saltos,distancia (m),,,,,,,
,Marco Antonio Verni,Peso,Lanzamientos,distancia (m),"18,54",6,13,,27/03/1976,,final
,,disco,Lanzamientos,distancia (m),,,,,,,
,Patricio Palma,martillo,Lanzamientos,distancia (m),"67,86",5,13,PB,27/10/1978,,final
,Leonardo Pino,martillo,Lanzamientos,distancia (m),"61,61",10,13,,20/06/1976,,final
,Diego Moraga,jabalina,Lanzamientos,distancia (m),"65,96",9,10,,6/10/1976,,final
,Ignacio Guerra,jabalina,Lanzamientos,distancia (m),"65,51",10,10,,15/09/1987,,final
,Gonzalo Barroilmet,Decatlón,Pruebas combinadas,Puntaje,7193,8,12,SB,19/08/1986,,final
,,Relevo mixto 4 × 400 m,Pruebas mixtas,Puntaje,,,,,,,
,,Marcha mixta,Pruebas mixtas,Puntaje,,,,,,,
,,,,,,,,,,,
2011,,100 m,velocidad,tiempo,,,,,,,
,BECERRA Kael Alejandro,200 m,velocidad,tiempo,00:00:21.23,7,8,,4/11/1985,,semifinal
,REYES Cristián Eduardo,200 m ,velocidad,tiempo,00:00:20.97,8,8,,5/08/1986,,final
,,400 m,velocidad,tiempo,,,,,,,
,,800 m ,Mediofondo,tiempo,,,,,,,
,LOPEZ Ivan Guido,1.500 m,Mediofondo,tiempo,00:03:56.53,8,14,,10/03/1990,,final
,ENCINA Leslie Rigoberto,1.500 m,Mediofondo,tiempo,3:56.69,10,14,,2/1/1982,,final
,,5.000 m  ,Fondo,tiempo,,,,,,,
,,10.000 m,Fondo,tiempo,,,,,,,
,,Maratón,Fondo,tiempo,,,,,,,
,,110 m vallas,Vallas / obstáculos,tiempo,,,,,,,
,,400 m vallas,Vallas / obstáculos,tiempo,,,,,,,
,YAÑEZ Enzo Diego,3.000 m con obstáculos,Vallas / obstáculos,tiempo,9:07.63,9,13,,13/9/1985,,final
,ROJAS Ignacio Hernan,4 × 100 m,Relevos,tiempo,DNF,,8,,,,final
,REYES Cristián Eduardo,4 × 100 m,Relevos,tiempo,DNF,,8,,,,final
,BECERRA Kael Alejandro,4 × 100 m,Relevos,tiempo,DNF,,8,,,,final
