Año,País de la Competencia ,Categoría,Nombre del Atleta (CHI),Disciplina,Fase,Marca/Resultado,Puesto,Medalla
2003,República Dominicana ,Femenino,Luz Eliana Silva,10.000m ,Final,37:11.17,8,N/A
2003,República Dominicana ,Femenino,Valeria Steffens ,Heptathlon,Clasificatorio,498 pts.,8,N/A
2003,República Dominicana ,Femenino,Marianne Berndt Ortiz,Lanzamiento de bala,Clasificatorio,15.37m,8,N/A
2003,República Dominicana ,Femenino,Marianne Berndt Ortiz,Lanzamiento de disco,Clasificatorio,42.45m,8,N/A
2003,República Dominicana ,Femenino,Odette Palma,Lanzamiento de martillo,Clasificatorio,54.14m,10,N/A
2003,República Dominicana ,Femenino,Erika Olivera,Maratón,Final,2:44.52,3,Bronce
2003,República Dominicana ,Femenino,Carolina Torres,Salto con pértiga ,Final,4.30m,2,Plata
2007,Brasil,Femenino,Maria Diaz Vergara,100m,Clasificatorio,12.05s,7,N/A
2007,Brasil,Femenino,Francisca Guzmán,100m vallas,Clasificatorio,N/A,N/A,N/A
2007,Brasil,Femenino,María Fernanda Mackenna ,200m ,Clasificatorio,24.97s,6,N/A
2007,Brasil,Femenino,Daniela Ri de Rellicercio,200m ,Clasificatorio,N/A,N/A,N/A
2007,Brasil,Femenino,María Fernanda Mackenna ,400m ,Clasificatorio,N/A,N/A,N/A
2007,Brasil,Femenino,Daniela Pavez,4x100m relevos,Clasificatorio,45.50s,5,N/A
2007,Brasil,Femenino,María Fernanda Mackenna ,4x100m relevos,Clasificatorio,45.50s,5,N/A
2007,Brasil,Femenino,Maria Diaz Vergara,4x100m relevos,Clasificatorio,45.50s,5,N/A
2007,Brasil,Femenino,Daniela Ri de Rellicercio,4x100m relevos,Clasificatorio,45.50s,5,N/A
2007,Brasil,Femenino,Natalia Ducó,Lanzamiento de bala,Clasificatorio,16.92m,7,N/A
2007,Brasil,Femenino,Ximena Araneda,Lanzamiento de disco,Clasificatorio,45.64m,13,N/A
2007,Brasil,Femenino,Karen Gallardo,Lanzamiento de disco,Clasificatorio,46.11m,12,N/A
2007,Brasil,Femenino,Odette Palma,Lanzamiento de martillo,Clasificatorio,55.63m,13,N/A
2007,Brasil,Femenino,Carolina Torres,Salto con pértiga ,Clasificatorio,4.00m,6,N/A
2011,México,Femenino,Daniela Pavez,100m,Clasificatorio,11.85s,4,N/A
2011,México,Femenino,Daniela Pavez,100m,Clasificatorio,11.85 s,4,N/A
2011,México,Femenino,Natalia Ducó,Lanzamiento de bala,Clasificatorio,17.56m,5,N/A
2011,México,Femenino,Karen Gallardo,Lanzamiento de disco,Clasificatorio,57.17m,5,N/A
2011,México,Femenino,Karen Gallardo,Lanzamiento de disco,Clasificatorio,57.17m,5,N/A
2011,México,Femenino,Odette Palma,Lanzamiento de martillo,Clasificatorio, 64.79m,7,N/A
2011,México,Femenino,Odette Palma,Lanzamiento de martillo,Clasificatorio,64.79m,7,N/A
2011,México,Femenino,Erika Olivera,Maratón,Clasificatorio,2:44:06,5,N/A
2011,México,Femenino,Natalia Romero,Maratón,Clasificatorio,2:47.35,7,N/A
2011,México,Femenino,Daniela Pavez,Salto largo,Clasificatorio,5.99m (+0.0m),10,N/A
2011,México,Femenino,Daniela Pavez,Salto largo,Clasificatorio,5.99m (+0.0m),10,N/A
2015,Canadá,Femenino,Isidora Jiménez ,100m,Semifinales,11.33s,5,N/A
2015,Canadá,Femenino,Isidora Jiménez ,100m,Semifinales,11.37s,8,N/A
2015,Canadá,Femenino,Isidora Jiménez ,200m ,Clasificatorio,22.95s,4,N/A
2015,Canadá,Femenino,Isidora Jiménez ,200m ,Semifinales,22.96s,5,N/A
2015,Canadá,Femenino,Paula Goñi,4x100m relevos,Clasificatorio,45.38s,6,N/A
2015,Canadá,Femenino,Josefina Gutierrez,4x100m relevos,Clasificatorio,45.38s,6,N/A
2015,Canadá,Femenino,Isidora Jiménez,4x100m relevos,Clasificatorio,45.38s,6,N/A
2015,Canadá,Femenino,María Fernanda Mackenna,4x100m relevos,Clasificatorio,45.38s,6,N/A
2015,Canadá,Femenino,Viviana Olivares,4x100m relevos,Clasificatorio,N/A,N/A,N/A
